name,types,address,place_id,longitude,latitude
Capital Spirits Charter Oak,liquor_store,"29 Charter Oak Avenue, Hartford",ChIJFYFUJ25T5okRxVbQkIPJDLI,1020740.1542883473,837403.3293304916
Farmington Ave Package Store,liquor_store,"500 Farmington Avenue, Hartford",ChIJM6DtFE1T5okReirETxYpUM0,1011355.3328313478,840131.8690039074
Welcome Package Store,liquor_store,"1032 Capitol Avenue, Hartford",ChIJlY8xFLWs54kRVBzYVBHXd5M,1010518.3380771192,837795.783544153
Roberts House of Liquor Store,liquor_store,"862 Park Street, Hartford",ChIJTeX31UBT5okREARXq_eLTjY,1015940.7764880841,837043.473238523
Capital Spirits,liquor_store,"73 Pratt Street, Hartford",ChIJl00GVmNT5okRIQPyYw4tA5c,1020564.8757436505,840413.4411185309
Spiritus Wines,liquor_store,"220 Asylum Street, Hartford",ChIJ89jcYmRT5okRLj1AhxpE2sU,1019875.8397678453,840397.9827663676
City Cellars,liquor_store,"304 Farmington Avenue, Hartford",ChIJcfKma1BT5okRNR5MZj-sLcI,1013861.6704271199,840546.9436889048
Bashner's Package Store,liquor_store,"1293 Main Street, Hartford",ChIJ75Uqep1U5okRwUQbeLr1whQ,1020149.9968923493,842070.7173010611
Woodland Package Store,liquor_store,"354 Woodland Street, Hartford",ChIJV4qSKKZU5okRARVQlF0aCtc,1014377.3819566483,844562.89224948
French's Liquor Store,liquor_store,"580 Albany Avenue, Hartford",ChIJI7QG5KFU5okRAPNbxHb1wuc,1017409.9245032638,844361.7499398363
Oakland Liquor Store LLC,liquor_store,"1081 Albany Avenue, Hartford",ChIJ96gHNqRU5okRDgk6vgCm1DY,1015100.012539117,845429.2588926402
Congressman Package Store,liquor_store,"1988 Main Street, Hartford",ChIJb4AWtsVV5okRk1lRpAbCCrg,1020243.2308618431,845537.0775945552
Capen Package Store,liquor_store,"212 Capen Street, Hartford",ChIJa60F_JZU5okRbo71010si4w,1018371.2540390155,847171.028888433
Blue's Package Store,liquor_store,"139 Barbour Street, Hartford",ChIJKV9UvJNU5okRlKFtmKT9GYQ,1019480.2210033905,848348.6301663205
Panchos Discount Liquors LLC,liquor_store,"292 Barbour Street, Hartford",ChIJmS383-xU5okRCicRjF4lS64,1019882.7981202169,849771.8649817044
Liquor outlets,liquor_store,"2790 Main Street, Hartford",ChIJXU6RNiRV5okRmfKpt1Zo284,1022056.6851338344,849091.9390740716
Modern Liquor Store LLC,liquor_store,"654 Blue Hills Avenue, Hartford",ChIJWTOj09pU5okRnHSINiIxcXY,1014908.8089774692,854278.3106174353
Mobil,gas_station,"888 New Britain Avenue, Hartford",ChIJ92Lury2t54kR7WnKqsRl_d8,1009861.3651213575,827521.1790151377
Valero,gas_station,"923 Maple Avenue, Hartford",ChIJNSBWv99S5okRQ8KLDp8GLdg,1016976.752924086,828224.2041350141
FOODLAND #4,gas_station,"831 Maple Avenue, Hartford",ChIJRxV7iR9T5okR2lutTnYfIlc,1017394.9125381443,829250.2731651579
Gulf Oil,gas_station,"850 Maple Avenue, Hartford",ChIJ49OnHSBT5okRT4yfy2vTYuY,1017502.4260779783,829096.3240369585
Getty Petroleum Marketing Inc,gas_station,"1919 Broad Street, Hartford",ChIJDwXn8yFT5okRxMHTf-Qtgfw,1017025.5738872271,830429.4330474592
Sam's Stores,gas_station,"145 New Britain Avenue, Hartford",ChIJg39ryCJT5okRls3NxTp1RX4,1017096.8625583677,832082.9538312284
Valero Gas station,gas_station,"867 Wethersfield Avenue, Hartford",ChIJE-r6kv1S5okRhRW16YoFcuA,1021776.5674746379,827555.7345659861
Mobil,gas_station,"634 Wethersfield Avenue, Hartford",ChIJhxH-hwRT5okRA1a4Lq5JSto,1021404.447058419,829424.2162566059
Sunoco Gas Station,gas_station,"675 Wethersfield Avenue, Hartford",ChIJ1dy4ggNT5okRdNyc6tLTnY8,1021388.0594887249,829407.0020627807
City Gas Station,gas_station,"10 White Street, Hartford",ChIJf7pPGiBT5okR2cGvaxo-Cq0,1017329.0410225358,829156.102112981
Ravi,gas_station,"848 Maple Avenue, Hartford",ChIJiaIj9R9T5okRr-KUtHTwx-Y,1017490.3781580401,829148.6054078715
Shell,gas_station,"131 Brainard Road, Hartford",ChIJJ2ouhalT5okR9N9I8z1OqeA,1024531.8832054762,829244.3733700305
Citgo,gas_station,"84 Airport Road, Hartford",ChIJMeikugZT5okR0W-fNcgh1Tk,1022503.2927229877,829885.794925457
Citgo,gas_station,"825 Maple Avenue, Hartford",ChIJR96miR9T5okRFQUgugLgnxs,1017495.6853691121,829316.0112226607
Mercury,gas_station,"Brainard Rd and, Airport Road, Hartford",ChIJh_5Ck2FT5okRcgJMFrVoPwQ,1024781.9256035682,829262.8179690564
Mobil,gas_station,"110 Brainard Road, Hartford",ChIJwdlldalT5okRCpaabHvKFSI,1024720.2813797434,829408.1459006544
Clean Energy,gas_station,United States,ChIJd_ImRqZT5okREIXnsjdlNsI,1024872.7335389296,831123.1749893769
Shell,gas_station,"1620 Park Street, Hartford",ChIJgycbjTVT5okRcoURzdCNVrg,1012079.4139009417,836732.4274739656
Mobil,gas_station,"234 Washington Street, Hartford",ChIJT76XI2tT5okRBYvqq2qPiAk,1018448.8686978958,835882.1562539518
Citgo,gas_station,"106 Sisson Avenue, Hartford",ChIJ5-Jwr0tT5okRWk94F6sS2p8,1011939.8102500122,838001.687535999
Ravi,gas_station,"1783 Broad Street, Hartford",ChIJG-jauSJT5okRSdfU9cPr7MU,1017065.0610861478,832057.0588869428
